 ;SODIMAC HC NUEVA LA FLORIDA / Rendimiento total / Promedios [kWh]
"=""01/06/""";"1.236,48"
"=""02/06/""";"520,79"
"=""03/06/""";"418,49"
"=""04/06/""";"302,43"
"=""05/06/""";"342,08"
"=""06/06/""";"431,90"
"=""07/06/""";"835,21"
"=""08/06/""";"570,27"
"=""09/06/""";"417,06"
"=""11/06/""";"144,36"
"=""12/06/""";"432,23"
"=""17/06/""";"723,08"
"=""18/06/""";"221,73"
"=""19/06/""";"1.296,03"
"=""20/06/""";"410,86"
"=""21/06/""";"52,51"
"=""22/06/""";"165,74"
"=""23/06/""";"241,59"
"=""24/06/""";"482,24"
"=""25/06/""";"879,77"
"=""26/06/""";"1.064,15"
"=""27/06/""";"916,75"
"=""28/06/""";"1.267,36"
"=""29/06/""";"755,70"
"=""30/06/""";"1.293,24"
